filename	title	author	release_date	cities	language
1.txt	The Declaration of Independence	Not specified	December, 1971  [EBook #1]		English
10.txt	The King James Bible	Not specified	March 2, 2011 [EBook #10]	March,God,Eden,Of,Adam,Man,Enoch,Male,Ham,Ararat,Magog,Rehoboth,Sidon,Gaza,Abram,Sarai,Bethel,Say,Jordan,Hebron,Bera,Bela,Damascus,Salem,Save,Moab,Ammon,Beersheba,Send,Medan,Massa,Tema,Elon,Luz,Benoni,Bethlehem,Cheran,Aran,Pau,Dothan,Can,Ephraim,Goshen,Carmi,Gera,Shiloh,Palestina,Joshua,Uri,None,Anak,Arad,Spring,Jericho,Star,Shelomi,Lebanon,Jerusalem,Ashdod,Carmel,Holon,Arab,Halhul,Salt,Tabor,Tyre,Lehi,Boaz,Ho,Buy,David,Kish,Zion,Bathsheba,Olivet,Deal,Bani,Darda,Asa,Sur,Silla,Selah,Babylon,Armenia,Dara,Ardon,Sharon,Amal,Ono,Lod,Perez,Ami,Ariel,Anan,Media,Orion,Ha,King,Justice,Hope,Much,Most,Sihor,Humble,Dig,Dura,Mede,Memphis,Palestine,Amos,Zara,Azor,Achim,Mary,Nazareth,Bethany,Anna,Abilene,Sala,Young,Emmaus,Saint John,Messias,Jona,Bethesda,Tiberias,Asia,Rome,Timon,Antioch,Tarsus,Cornelius,Paphos,Long,Jupiter,Macedonia,Berea,Athens,Corinth,Alexandria,Greece,Chios,Roman,Festus,Crete,Adria,Syracuse,Agar,Bear,Eunice,Lucas,Smyrna,Pergamos,Philadelphia	English
100.txt	The Complete Works of William Shakespeare	William Shakespeare	January, 1994	Of,Borne,Save,Much,Can,Reserve,Kissing,Roses,Than,Most,Say,Made,None,Savage,Bear,Buy,Paris,Florence,King,Helena,Man,God,Welcome,Troy,Noble,Worth,Saint Francis,Change,Sebastian,Hercules,Cox,Send,Antony,Pompey,Alexandria,Rome,Ionia,Goes,Modena,Ha,Roman,Messina,Hoo,Media,Grants,Athens,Jupiter,Best,Armenia,Long,Mede,Manage,Ho,Ajax,Apace,Young,Frederick,Forest,Adam,Orlando,Hem,Amiens,Leander,Bay,Phoenix,Wedding,Syracuse,Corinth,Greece,Asia,Horn,Luce,Poland,Paradise,Revel,Justice,Chas,Along,Ulysses,Ithaca,Bury,March,Coin,Real,Moe,Adrian,Trail,Glad,Orleans,Mary,Nice,Cambria,Milford Haven,Milford,Wales,Severn,Cave,Golden,Gan,Cornelius,Friendly,Hamlet,Laer,Ham,Pale,Seneca,Vienna,Hazard,Gent,Claudio,Lancaster,Worcester,Northumberland,York,Douglas,Peto,London,Fife,Athol,Angus,Jerusalem,Windsor,Lincolnshire,Madeira,Canterbury,Rochester,Tut,Cham,Kent,Bar,Kendal,Manningtree,Sauce,Bangor,Shrewsbury,Burton,Brooks,Vernon,Coventry,Daventry,Doncaster,Esperance,Stafford,Shirley,Clifton,Chester,Morton,Smithfield,Hope,Saint Albans,Monmouth,Tewksbury,Lent,Westminster,Surrey,Warwick,Oxford,Norfolk,Gray,Stamford,Saint George,Green,Vice,Yorkshire,Hereford,Hastings,Retreat,Gloucester,Rain,Hinckley,Fleet,Katherine,Dauphin,Isabel,Sala,Lorraine,Cambridge,Southampton,Crete,Exeter,Hampton,Staines,Babylon,Harfleur,Calais,Rouen,Alice,Un,Norman,Albion,Beaumont,Foix,Bedford,Roy,Thames,Salisbury,Gardez,Sur,Suffolk,Alencon,Chatillon,Blackheath,Troyan,Huntington,Naples,Bordeaux,Prosper,August,Constantine,Bright,Winchester,Peel,Damascus,Beaufort,Hannibal,Memphis,George,Somerset,Spring,Temple,Begun,Blois,Tours,Waterford,Valence,Alton,Sheffield,Dover,Buckingham,Ceres,Berwick,Hatfield,Woodstock,Isle,Holden,Stanley,Ashford,Poole,Hale,Argo,Chatham,Savoy,Dartford,Cumberland,Medea,Rutland,Tire,Wakefield,Montague,Cobham,Hard,Prince Edward,Springs,Pembroke,Richmond,Montgomery,Northampton,Somerville,Southam,Barnet,Gardiner,Greenwich,Hopkins,Kildare,Toledo,Bayonne,Lincoln,Cromwell,Ferrara,Dunstable,Whitehall,Griffith,Leicester,Ipswich,Denny,Pace,Elizabeth,Saba,Po,Palestine,Lame,Milan,Bell,Bend,Ascension,Apt,Cicero,Liberty,Post,Defiance,Cornwall,Albany,Monster,Halfway,Ise,Navarre,Moth,Liege,Sola,Luna,Venice,Timon,Novi,Ba,Joshua,Ware,Saint Dennis,Price,Ilion,Thane,Duncan,Forres,Lennox,Aleppo,Inverness,Fate,Deal,Seward,Fully,Aves,China,Mariana,Vail,Belmont,Rialto,Mexico,Abram,Genoa,Frankfort,Carthage,Page,Star,Coram,Rugby,Nan,Ringwood,Mead,Fenton,Herne,Maidenhead,Hue,Puck,Daphne,Hit,Crystal,Aurora,Sparta,Crook,Beatrice,Leon,Vulcan,Saint Peter,Bor,Anthony,Othello,Swords,Derby,Eden,Willoughby,Berkeley,Seymour,Bristol,Carlisle,Spencer,Saint John,Chertsey,Saint Paul,Ludlow,Chop,Vaughan,Ely,Dighton,Tamworth,Verona,Mantua,Mon,Freetown,Peer,Par,Mer,Mus,Laur,Pisa,Tripoli,Bergamo,Miranda,Ariel,Side,Temperance,Tunis,Paphos,Providence,Surprise,Solon,Grave,Manly,Male,Viola,Prague,Pare,Silvia,Imperial,Don Antonio,Northgate,Tune,Bohemia,Delphos,Tak,Cypress	English
