Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,20,39,26,76,13.99,60.000%,.06520,0.02,0.01,250.8
TOTAL,20,39,26,76,13.99,60.000%,.06520,0.02,0.01,250.8
